quizzes,solutions
060090000097080050230071089500008093002700040000530100078000500104006037050200460,861395274497682351235471689546128793312769845789534126678943512124856937953217468
270040900009730001005009800007068000020001506038000070100000463803620019040090050,271846935489735621365219847517468392924371586638952174192587463853624719746193258
090030020064019300805004071000070050302100700901805604700400800608002010000600209,197538426264719385835264971486973152352146798971825634729451863648392517513687249
802000075000005090090763400530020061900530200200041008000100823407008600001000700,862419375743285196195763482534827961918536247276941538659174823427358619381692754
000008400093500201624090005005002980000060003317000000148030700700080002209046150,571628439893574261624193875465312987982467513317859624148235796756981342239746158
201045609040806000007030010730020901060007850094050203000084002500900040020100007,281745639943816725657239418735428961162397854894651273376584192518972346429163587
003200080000015070006470200207000300000600040100839500040503610050902008002060090,573296184428315976916478253287154369395627841164839527749583612651942738832761495
300700090002043850076000100701000209000082500009106080450309006060000028200001400,345718692912643857876295143781534269634982571529176384458329716163457928297861435
300070001205600000098020306420008953500012070006900400087501000040000005000340890,364879521215634789798125346421768953539412678876953412687591234943287165152346897
650010307090803600001002490020900001000648003703500040000104820278000050009000006,652419387497853612381762495824937561915648273763521948536174829278396154149285736
730004051100375000604020090040100200309000006206000080500087032000060100080902007,732694851198375624654821793845136279379258416216749385561487932927563148483912567
100005080000490503903700060080512000600908420005300070507020009068040000020600130,146235987872496513953781264784512396631978425295364871517823649368149752429657138
080700000370000509900204108007048006060100005804026090005410030000009021020367000,481795362372681549956234178537948216269173485814526793695412837743859621128367954
002010004300700600000038172050062803840500700006040091020900058070001200095084000,782615934314729685569438172957162843841593726236847591123976458478351269695284317
005010080687520003900003040023600570060000200000047061050009007000001439840300100,435916782687524913912783645123698574764135298598247361351469827276851439849372156
900035000700026805006470000040201700080009046205000380002064090009700530400800600,928135467734926815516478923643281759187359246295647381372564198869712534451893672
010500200560000837030460500901300400000070026002000081000038040300604000840052790,719583264564219837238467519981326475453871926672945381195738642327694158846152793
000000003052081409016900800700306901800072000630100500000050740008030002009004056,987465213352781469416923875725346981891572634634198527163259748548637192279814356
009080016010305080000006407000403700021090000360820000003600004590100800008739502,759284316614375289832916457985463721421597638367821945273658194596142873148739562
900460003050002080610050700000000000060187040038009020840510970705308410006020000,987461253354972681612853794471235869269187345538649127843516972725398416196724538
000571003705600008600000040453200009900037100020080064090050080001009702800043056,284571693735694218619328547453216879968437125127985364396752481541869732872143956
005308209407006000002091000004005060530009008010070034200000640800507100609020305,165348279497256813382791456724835961536419728918672534251983647843567192679124385
040309075103020800080506000001200069300600400060098200008000700790104000216075030,642389175153427896987516342871243569329651487564798213438962751795134628216875934
601300548025700910800004007309001604102870050006903000000600005000089030017000020,671392548425768913893154267389521674142876359756943182238617495564289731917435826
940600000000080004003075600300000721009108050650027040000002908200060003170930065,942613587567289134813475692384596721729148356651327849436752918295861473178934265
001090006000508000046037058860003010000002470290450000703020001000706085010005900,581294736372568194946137258864973512135682479297451863753829641429716385618345927
000900002580040701601083005030856024000300800000071069470000000800200096300064500,743915682589642731621783945937856124164329857258471369476598213815237496392164578
200040039670103050004080000005007243102908000000050000007025960500401007030809001,251746839678193452394582716985617243142938675763254198817325964529461387436879521
005000009401003007062000508000340050070090040300075900010507602007102300080064000,835726419491853267762419538129348756576291843348675921914537682657182394283964175
408090601060070390500020004026308000310600500004009060003401700280037010700005900,478593621162874395539126874926358147317642589854719263693481752285937416741265938
500183200003000400189064000004050100870900000015000067250008370036020059400700002,547183296623579481189264735964357128872916543315842967251698374736421859498735612
900164500057000000200009081030005064690307100400980000001020405800000006004701023,983164572157832649246579381738215964692347158415986237371628495829453716564791823
500670008401908300300000020060190050050002400008004217020006500703050000000831900,592673148471928365386415729264197853157382496938564217829746531713259684645831972
058002100470300060210900030900070480002001903084030501090806000600047050007000002,358762194479318265216954738931275486562481973784639521195826347623147859847593612
786040900000100000300508620001300060590000730040075002007650408050009010209001300,786243951925167843314598627871324569592816734643975182137652498458739216269481375
100080923490003061000600005060502390071000054920070000503029870000040100012006000,156487923498253761237691485864512397371968254925374618543129876689745132712836549
